"","X","x"
"361",361,1
"362",362,1
"363",363,1
"364",364,1
"365",365,1
"366",366,1
"367",367,1
"368",368,1
"369",369,1
"370",370,1
"371",371,1
"372",372,1
"373",373,1
"374",374,1
"375",375,1
"376",376,1
"377",377,1
"378",378,1
"379",379,1
"380",380,1
"381",381,1
"382",382,1
"383",383,1
"384",384,1
"385",385,1
"386",386,1
"387",387,1
"388",388,1
"389",389,1
"390",390,1
"391",391,1
"392",392,1
"393",393,1
"394",394,1
"395",395,1
"396",396,1
"397",397,1
"398",398,1
"399",399,2
"400",400,1
"401",401,1
"402",402,5
"403",403,5
"404",404,3
"405",405,3
"406",406,4
"407",407,4
"408",408,4
"409",409,4
"410",410,4
"411",411,4
"412",412,4
"413",413,4
"414",414,5
"415",415,5
"416",416,5
"417",417,5
"418",418,5
"419",419,5
"420",420,4
"421",421,4
"422",422,4
"423",423,4
"424",424,4
"425",425,4
"426",426,4
"427",427,4
"428",428,4
"429",429,5
"430",430,5
"431",431,5
"432",432,5
"433",433,5
"434",434,5
"435",435,4
"436",436,5
"437",437,5
"438",438,5
"439",439,5
"440",440,5
"441",441,4
"442",442,5
"443",443,5
"444",444,5
"445",445,5
"446",446,3
"447",447,5
"448",448,5
"449",449,5
"450",450,5
"451",451,5
"452",452,5
"453",453,3
"454",454,3
"455",455,3
"456",456,5
"457",457,3
"458",458,3
"459",459,3
"460",460,5
"461",461,5
"462",462,5
"463",463,5
"464",464,1
"465",465,5
"466",466,5
"467",467,3
"468",468,5
"469",469,5
"470",470,3
"471",471,5
"472",472,5
"473",473,5
"474",474,1
"475",475,5
"476",476,5
"477",477,5
"478",478,5
"479",479,5
"480",480,5
"481",481,1
"482",482,5
"483",483,1
"484",484,3
"485",485,5
"486",486,1
"487",487,1
"488",488,5
"489",489,1
"490",490,1
"491",491,4
"492",492,5
"493",493,5
"494",494,5
"495",495,5
"496",496,5
"497",497,5
"498",498,5
"499",499,5
"500",500,5
"501",501,1
"502",502,4
"503",503,1
"504",504,3
"505",505,5
"506",506,5
"507",507,1
"508",508,5
"509",509,5
"510",510,3
"511",511,5
"512",512,5
"513",513,1
"514",514,5
"515",515,5
"516",516,3
"517",517,1
"518",518,5
"519",519,3
"520",520,1
"521",521,1
"522",522,1
"523",523,3
"524",524,1
"525",525,5
"526",526,5
"527",527,5
"528",528,1
"529",529,5
"530",530,5
"531",531,3
"532",532,5
"533",533,3
"534",534,2
"535",535,5
"536",536,2
"537",537,4
"538",538,5
"539",539,3
"540",540,5
"541",541,5
"542",542,2
"543",543,5
"544",544,5
"545",545,2
"546",546,5
"547",547,5
"548",548,2
"549",549,3
"550",550,5
"551",551,5
"552",552,5
"553",553,3
"554",554,5
"555",555,2
"556",556,2
"557",557,2
"558",558,5
"559",559,5
"560",560,3
"561",561,3
"562",562,5
"563",563,5
"564",564,5
"565",565,5
"566",566,5
"567",567,3
"568",568,5
"569",569,5
"570",570,2
"571",571,5
"572",572,5
"573",573,5
"574",574,2
"575",575,5
"576",576,5
"577",577,5
"578",578,5
"579",579,5
"580",580,5
"581",581,5
"582",582,2
"583",583,5
"584",584,5
"585",585,5
"586",586,5
"587",587,5
"588",588,2
"589",589,5
"590",590,5
"591",591,5
"592",592,5
"593",593,5
"594",594,5
"595",595,5
"596",596,3
"597",597,5
"598",598,1
"599",599,5
"600",600,3
"601",601,2
"602",602,2
"603",603,5
"604",604,5
"605",605,5
"606",606,5
"607",607,3
"608",608,5
"609",609,3
"610",610,2
"611",611,5
"612",612,5
"613",613,5
"614",614,5
"615",615,3
"616",616,5
"617",617,3
"618",618,3
"619",619,5
"620",620,5
"621",621,2
"622",622,5
"623",623,5
"624",624,3
"625",625,2
"626",626,3
"627",627,5
"628",628,5
"629",629,2
"630",630,5
"631",631,5
"632",632,3
"633",633,5
"634",634,3
"635",635,5
"636",636,3
"637",637,3
"638",638,5
"639",639,2
"640",640,5
"641",641,5
"642",642,5
"643",643,5
"644",644,5
"645",645,4
"646",646,4
"647",647,2
"648",648,5
"649",649,3
"650",650,5
"651",651,5
"652",652,5
"653",653,5
"654",654,1
"655",655,5
"656",656,5
"657",657,5
"658",658,5
"659",659,5
"660",660,5
"661",661,5
"662",662,3
"663",663,5
"664",664,5
"665",665,1
"666",666,3
"667",667,5
"668",668,2
"669",669,5
"670",670,2
"671",671,3
"672",672,3
"673",673,5
"674",674,5
"675",675,2
"676",676,5
"677",677,5
"678",678,5
"679",679,5
"680",680,5
"681",681,5
"682",682,5
"683",683,5
"684",684,3
"685",685,5
"686",686,3
"687",687,5
"688",688,5
"689",689,2
"690",690,2
"691",691,5
"692",692,5
"693",693,2
"694",694,5
"695",695,5
"696",696,3
"697",697,1
"698",698,3
"699",699,5
"700",700,5
"701",701,3
"702",702,5
"703",703,3
"704",704,1
"705",705,3
"706",706,3
"707",707,1
"708",708,3
"709",709,5
"710",710,5
"711",711,5
"712",712,1
"713",713,5
"714",714,5
"715",715,5
"716",716,1
"717",717,3
"718",718,3
"719",719,5
"720",720,3
"721",721,5
"722",722,1
"723",723,5
"724",724,5
"725",725,3
"726",726,5
"727",727,1
"728",728,3
"729",729,5
"730",730,1
"731",731,5
"732",732,5
"733",733,5
"734",734,5
"735",735,5
"736",736,5
"737",737,5
"738",738,5
"739",739,5
"740",740,5
"741",741,3
"742",742,3
"743",743,5
"744",744,5
"745",745,5
"746",746,5
"747",747,5
"748",748,5
"749",749,1
"750",750,5
"751",751,3
"752",752,5
"753",753,5
"754",754,5
"755",755,5
"756",756,5
"757",757,5
"758",758,5
"759",759,5
"760",760,5
"761",761,5
"762",762,5
"763",763,5
"764",764,5
"765",765,5
"766",766,5
"767",767,3
"768",768,3
"769",769,3
"770",770,3
"771",771,3
"772",772,3
"773",773,3
"774",774,3
"775",775,5
"776",776,5
"777",777,5
"778",778,5
"779",779,1
"780",780,1
"781",781,2
"782",782,2
"783",783,5
"784",784,5
"785",785,5
"786",786,5
"787",787,5
"788",788,5
